"Date","Price","Open","High","Low","Change %"
"Jan 18","1.4192","1.3514","1.4346","1.3457","5.01%"
"Dec 17","1.3515","1.3525","1.3552","1.3302","-0.08%"
"Nov 17","1.3526","1.3281","1.3550","1.3038","1.83%"
"Oct 17","1.3283","1.3388","1.3403","1.3025","-0.85%"
"Sep 17","1.3397","1.2930","1.3657","1.2903","3.60%"
"Aug 17","1.2931","1.3214","1.3265","1.2772","-2.14%"
"Jul 17","1.3214","1.3012","1.3225","1.2810","1.44%"
"Jun 17","1.3027","1.2889","1.3032","1.2589","1.06%"
"May 17","1.2890","1.2952","1.3049","1.2769","-0.47%"
"Apr 17","1.2951","1.2544","1.2970","1.2366","3.20%"
"Mar 17","1.2550","1.2385","1.2620","1.2111","1.36%"
"Feb 17","1.2381","1.2580","1.2708","1.2345","-1.57%"
"Jan 17","1.2579","1.2346","1.2675","1.1981","1.95%"
"Dec 16","1.2338","1.2507","1.2776","1.2200","-1.34%"
"Nov 16","1.2505","1.2235","1.2673","1.2205","2.13%"
"Oct 16","1.2244","1.2940","1.2948","1.1452","-5.64%"
"Sep 16","1.2976","1.3139","1.3446","1.2913","-1.23%"
"Aug 16","1.3138","1.3230","1.3372","1.2864","-0.70%"
"Jul 16","1.3231","1.3311","1.3485","1.2801","-0.60%"
"Jun 16","1.3311","1.4482","1.5023","1.3123","-8.06%"
"May 16","1.4478","1.4610","1.4770","1.4331","-0.92%"
"Apr 16","1.4613","1.4362","1.4671","1.4006","1.75%"
"Mar 16","1.4362","1.3920","1.4518","1.3905","3.20%"
"Feb 16","1.3916","1.4240","1.4669","1.3834","-2.32%"
"Jan 16","1.4247","1.4736","1.4815","1.4082","-3.34%"
"Dec 15","1.4739","1.5055","1.5239","1.4723","-2.11%"
"Nov 15","1.5056","1.5452","1.5499","1.4993","-2.42%"
"Oct 15","1.5429","1.5128","1.5509","1.5107","1.98%"
"Sep 15","1.5129","1.5344","1.5660","1.5107","-1.39%"
"Aug 15","1.5343","1.5624","1.5819","1.5334","-1.80%"
"Jul 15","1.5624","1.5710","1.5734","1.5330","-0.55%"
"Jun 15","1.5710","1.5295","1.5933","1.5172","2.74%"
"May 15","1.5291","1.5352","1.5817","1.5090","-0.39%"
"Apr 15","1.5351","1.4817","1.5498","1.4565","3.60%"
"Mar 15","1.4818","1.5437","1.5445","1.4634","-3.99%"
"Feb 15","1.5434","1.5087","1.5554","1.4989","2.42%"
"Jan 15","1.5069","1.5577","1.5587","1.4950","-3.25%"
"Dec 14","1.5575","1.5650","1.5787","1.5486","-0.47%"
"Nov 14","1.5649","1.5978","1.6023","1.5591","-2.18%"
"Oct 14","1.5998","1.6215","1.6254","1.5876","-1.33%"
"Sep 14","1.6214","1.6595","1.6645","1.6052","-2.32%"
"Aug 14","1.6599","1.6886","1.6894","1.6526","-1.70%"
"Jul 14","1.6886","1.7108","1.7193","1.6857","-1.29%"
"Jun 14","1.7106","1.6762","1.7118","1.6699","2.11%"
"May 14","1.6752","1.6874","1.6998","1.6693","-0.72%"
"Apr 14","1.6873","1.6662","1.6903","1.6555","1.26%"
"Mar 14","1.6663","1.6746","1.6786","1.6461","-0.49%"
"Feb 14","1.6745","1.6446","1.6825","1.6253","1.88%"
"Jan 14","1.6436","1.6559","1.6670","1.6312","-0.74%"
"Dec 13","1.6558","1.6363","1.6581","1.6221","1.17%"
"Nov 13","1.6367","1.6038","1.6386","1.5855","2.03%"
"Oct 13","1.6042","1.6186","1.6262","1.5895","-0.89%"
"Sep 13","1.6186","1.5512","1.6203","1.5506","4.36%"
"Aug 13","1.5510","1.5210","1.5717","1.5103","1.99%"
"Jul 13","1.5208","1.5201","1.5435","1.4814","-0.03%"
"Jun 13","1.5212","1.5192","1.5753","1.5165","0.09%"
"May 13","1.5199","1.5534","1.5606","1.5008","-2.15%"
"Apr 13","1.5533","1.5207","1.5568","1.5034","2.17%"
"Mar 13","1.5203","1.5162","1.5269","1.4830","0.27%"
"Feb 13","1.5162","1.5858","1.5880","1.5072","-4.38%"
"Jan 13","1.5857","1.6254","1.6382","1.5675","-2.44%"
