"Date","Price","Open","High","Low","Change %"
"Jan 18","2,830.20","2,978.93","2,983.82","2,757.39","-5.17%"
"Dec 17","2,984.50","3,014.49","3,038.80","2,955.00","-1.02%"
"Nov 17","3,015.30","3,044.11","3,084.30","2,970.30","-0.86%"
"Oct 17","3,041.42","2,938.92","3,048.42","2,912.97","3.56%"
"Sep 17","2,936.91","2,949.51","2,951.80","2,888.76","-0.49%"
"Aug 17","2,951.36","2,992.76","3,021.55","2,910.51","-1.13%"
"Jul 17","2,985.00","3,045.90","3,107.75","2,984.13","-2.04%"
"Jun 17","3,047.07","2,920.89","3,079.24","2,884.99","4.49%"
"May 17","2,916.25","2,938.56","2,993.00","2,859.50","-0.86%"
"Apr 17","2,941.68","2,872.28","2,965.86","2,824.90","2.36%"
"Mar 17","2,873.76","2,922.00","3,023.14","2,869.75","-1.90%"
"Feb 17","2,929.55","2,915.00","2,934.85","2,834.30","0.18%"
"Jan 17","2,924.30","3,001.50","3,007.30","2,890.00","-2.59%"
"Dec 16","3,002.00","3,073.50","3,097.50","2,952.43","-2.37%"
"Nov 16","3,075.00","3,005.95","3,208.33","2,945.14","2.33%"
"Oct 16","3,005.00","2,881.06","3,010.90","2,879.68","4.22%"
"Sep 16","2,883.35","2,971.00","3,008.00","2,821.15","-2.99%"
"Aug 16","2,972.30","3,070.30","3,129.72","2,850.12","-3.18%"
"Jul 16","3,070.07","2,919.15","3,108.14","2,880.00","5.13%"
"Jun 16","2,920.15","3,090.00","3,128.00","2,863.62","-5.50%"
"May 16","3,090.07","2,852.80","3,092.55","2,815.97","8.47%"
"Apr 16","2,848.69","3,001.00","3,123.59","2,837.23","-5.06%"
"Mar 16","3,000.51","3,303.60","3,307.10","2,987.88","-8.84%"
"Feb 16","3,291.30","3,281.49","3,453.77","3,275.10","0.27%"
"Jan 16","3,282.50","3,174.00","3,427.78","3,168.12","3.40%"
"Dec 15","3,174.50","3,144.00","3,378.00","3,106.50","0.95%"
"Nov 15","3,144.60","2,895.86","3,154.20","2,783.00","8.55%"
"Oct 15","2,896.86","3,097.50","3,101.25","2,831.50","-6.18%"
"Sep 15","3,087.81","3,063.00","3,196.49","2,948.35","1.09%"
"Aug 15","3,054.60","2,879.20","3,266.55","2,874.50","6.06%"
"Jul 15","2,880.00","2,603.00","2,888.70","2,600.00","10.55%"
"Jun 15","2,605.22","2,530.00","2,634.18","2,504.30","2.93%"
"May 15","2,531.00","2,381.00","2,569.10","2,349.85","6.26%"
"Apr 15","2,382.00","2,599.50","2,600.50","2,373.20","-8.38%"
"Mar 15","2,600.00","2,499.50","2,700.20","2,493.50","4.00%"
"Feb 15","2,499.97","2,439.00","2,516.97","2,345.00","2.46%"
"Jan 15","2,440.00","2,388.00","2,463.50","2,342.08","2.16%"
"Dec 14","2,388.50","2,216.90","2,469.70","2,210.00","7.74%"
"Nov 14","2,217.00","2,056.95","2,218.09","2,052.75","7.73%"
"Oct 14","2,058.00","2,024.37","2,084.49","2,010.45","1.63%"
"Sep 14","2,024.95","1,920.30","2,034.55","1,916.60","5.43%"
"Aug 14","1,920.73","1,876.98","1,939.48","1,864.99","2.34%"
"Jul 14","1,876.74","1,878.80","1,890.59","1,837.50","-0.16%"
"Jun 14","1,879.75","1,898.00","1,904.99","1,869.75","-0.91%"
"May 14","1,897.00","1,929.75","1,937.19","1,894.05","-2.01%"
"Apr 14","1,936.00","1,969.00","1,986.50","1,912.85","-1.82%"
"Mar 14","1,971.94","2,045.99","2,056.11","1,952.70","-3.53%"
"Feb 14","2,044.00","2,014.40","2,066.49","2,005.50","1.39%"
"Jan 14","2,015.92","1,929.50","2,027.88","1,915.99","4.45%"
"Dec 13","1,930.00","1,929.99","1,952.09","1,911.99","-0.09%"
"Nov 13","1,931.75","1,892.00","1,940.30","1,889.99","2.08%"
"Oct 13","1,892.30","1,906.00","1,906.30","1,875.15","-1.02%"
"Sep 13","1,911.80","1,932.33","1,963.74","1,879.60","-1.09%"
"Aug 13","1,932.92","1,893.53","1,946.08","1,864.50","1.97%"
"Jul 13","1,895.50","1,920.35","1,931.99","1,866.15","-1.36%"
"Jun 13","1,921.68","1,901.70","1,949.34","1,872.99","0.95%"
"May 13","1,903.62","1,824.49","1,920.97","1,821.50","4.30%"
"Apr 13","1,825.09","1,819.00","1,852.54","1,810.05","0.00%"
"Mar 13","1,825.00","1,812.10","1,842.30","1,795.16","1.36%"
"Feb 13","1,800.50","1,776.50","1,800.50","1,770.50","-0.68%"
"Feb 13","1,812.90","1,770.60","1,822.80","1,770.60","2.05%"
"Jan 13","1,776.50","1,767.00","1,781.00","1,758.00","0.06%"
"Jan 13","1,775.41","1,764.28","1,782.70","1,743.75","0.48%"
