"Date","Price","Open","High","Low","Change %"
"Jan 18","5.9954","6.2051","6.2500","5.9384","-3.38%"
"Dec 17","6.2050","6.2516","6.3528","6.1905","-0.75%"
"Nov 17","6.2520","6.3898","6.4412","6.2219","-2.16%"
"Oct 17","6.3897","6.2987","6.4288","6.2649","1.45%"
"Sep 17","6.2984","6.2449","6.3507","6.1528","0.86%"
"Aug 17","6.2447","6.2800","6.3759","6.1631","-0.56%"
"Jul 17","6.2798","6.5123","6.5740","6.2774","-3.51%"
"Jun 17","6.5080","6.6155","6.6905","6.4962","-1.63%"
"May 17","6.6156","6.8273","6.8639","6.6060","-3.10%"
"Apr 17","6.8272","6.9823","7.0354","6.7941","-2.21%"
"Mar 17","6.9815","7.0291","7.0833","6.8222","-0.67%"
"Feb 17","7.0287","6.8867","7.0836","6.8684","2.06%"
"Jan 17","6.8867","7.0633","7.1891","6.8783","-2.51%"
"Dec 16","7.0643","7.0264","7.1814","6.8419","0.55%"
"Nov 16","7.0260","6.7730","7.0730","6.5860","3.73%"
"Oct 16","6.7733","6.6265","6.8554","6.6203","2.26%"
"Sep 16","6.6233","6.6715","6.7013","6.5710","-0.71%"
"Aug 16","6.6706","6.6583","6.7328","6.5468","0.20%"
"Jul 16","6.6572","6.6952","6.7923","6.6426","-0.58%"
"Jun 16","6.6960","6.6817","6.8146","6.5131","0.21%"
"May 16","6.6817","6.5039","6.7012","6.4057","2.79%"
"Apr 16","6.5004","6.5475","6.6336","6.4921","-0.73%"
"Mar 16","6.5481","6.8606","6.8910","6.5283","-4.55%"
"Feb 16","6.8602","6.8882","6.9003","6.5612","-0.41%"
"Jan 16","6.8882","6.8720","6.9653","6.7942","0.23%"
"Dec 15","6.8723","7.0617","7.0772","6.7458","-2.69%"
"Nov 15","7.0620","6.7748","7.0661","6.7480","4.20%"
"Oct 15","6.7771","6.6756","6.8456","6.4905","1.53%"
"Sep 15","6.6753","6.6579","6.7288","6.5104","0.26%"
"Aug 15","6.6577","6.7964","6.8786","6.3727","-2.00%"
"Jul 15","6.7939","6.6959","6.9012","6.6535","1.43%"
"Jun 15","6.6983","6.7916","6.8513","6.5241","-1.32%"
"May 15","6.7880","6.6527","6.8910","6.5105","2.04%"
"Apr 15","6.6523","6.9612","7.1010","6.6278","-4.46%"
"Mar 15","6.9627","6.6741","7.1278","6.6393","4.42%"
"Feb 15","6.6680","6.5820","6.6788","6.4550","1.26%"
"Jan 15","6.5849","6.1550","6.6966","6.1505","6.98%"
"Dec 14","6.1552","5.9746","6.1565","5.9197","2.95%"
"Nov 14","5.9788","5.9517","6.0196","5.9096","0.61%"
"Oct 14","5.9426","5.8933","5.9615","5.7768","0.84%"
"Sep 14","5.8931","5.6693","5.9209","5.6591","3.89%"
"Aug 14","5.6723","5.5687","5.6726","5.5456","1.86%"
"Jul 14","5.5685","5.4458","5.5788","5.4424","2.27%"
"Jun 14","5.4451","5.4727","5.5263","5.4425","-0.53%"
"May 14","5.4742","5.3830","5.4937","5.3334","1.70%"
"Apr 14","5.3828","5.4236","5.4616","5.3698","-0.73%"
"Mar 14","5.4225","5.4118","5.4474","5.3427","0.29%"
"Feb 14","5.4066","5.5294","5.5367","5.3968","-2.27%"
"Jan 14","5.5322","5.4289","5.5373","5.4147","1.91%"
"Dec 13","5.4284","5.4877","5.5177","5.3705","-1.10%"
"Nov 13","5.4889","5.4905","5.6097","5.4745","-0.02%"
"Oct 13","5.4901","5.5149","5.5375","5.3928","-0.42%"
"Sep 13","5.5134","5.6382","5.6934","5.4968","-2.27%"
"Aug 13","5.6417","5.6050","5.6635","5.5439","0.67%"
"Jul 13","5.6044","5.7314","5.8476","5.5865","-2.24%"
"Jun 13","5.7331","5.7373","5.7549","5.5589","-0.06%"
"May 13","5.7367","5.6604","5.8239","5.6289","1.31%"
"Apr 13","5.6623","5.8169","5.8487","5.6476","-2.65%"
"Mar 13","5.8162","5.7112","5.8456","5.6770","1.83%"
"Feb 13","5.7116","5.4929","5.7315","5.4409","3.95%"
"Jan 13","5.4944","5.6557","5.7394","5.4885","-2.81%"
