S_No,Year,Month,Product_ID,Country,Sales
0,79073,2016,4,1,Argentina,104967.77973164091
1,79074,2016,5,1,Argentina,104967.77973164091
2,79075,2016,6,1,Argentina,104967.77973164091
3,79076,2016,7,1,Argentina,104967.77973164091
4,79077,2016,8,1,Argentina,104967.77973164091
5,79078,2016,9,1,Argentina,104967.77973164091
6,79079,2016,10,1,Argentina,104967.77973164091
7,79080,2016,11,1,Argentina,104967.77973164091
8,79081,2016,12,1,Argentina,104967.77973164091
9,79082,2017,1,1,Argentina,104967.77973164091
10,79083,2017,2,1,Argentina,104967.77973164091
11,79084,2017,3,1,Argentina,104967.77973164091
12,79085,2016,4,2,Argentina,104967.77973164091
13,79086,2016,5,2,Argentina,104967.77973164091
14,79087,2016,6,2,Argentina,104967.77973164091
15,79088,2016,7,2,Argentina,104967.77973164091
16,79089,2016,8,2,Argentina,104967.77973164091
17,79090,2016,9,2,Argentina,104967.77973164091
18,79091,2016,10,2,Argentina,104967.77973164091
19,79092,2016,11,2,Argentina,104967.77973164091
20,79093,2016,12,2,Argentina,104967.77973164091
21,79094,2017,1,2,Argentina,104967.77973164091
22,79095,2017,2,2,Argentina,104967.77973164091
23,79096,2017,3,2,Argentina,104967.77973164091
24,79097,2017,1,3,Argentina,104967.77973164091
25,79098,2017,2,3,Argentina,104967.77973164091
26,79099,2017,3,3,Argentina,104967.77973164091
27,79100,2016,4,2,Belgium,104967.77973164091
28,79101,2016,5,2,Belgium,104967.77973164091
29,79102,2016,6,2,Belgium,104967.77973164091
30,79103,2016,7,2,Belgium,104967.77973164091
31,79104,2016,8,2,Belgium,104967.77973164091
32,79105,2016,9,2,Belgium,104967.77973164091
33,79106,2016,10,2,Belgium,104967.77973164091
34,79107,2016,11,2,Belgium,104967.77973164091
35,79108,2016,12,2,Belgium,104967.77973164091
36,79109,2017,1,2,Belgium,104967.77973164091
37,79110,2017,2,2,Belgium,104967.77973164091
38,79111,2017,3,2,Belgium,104967.77973164091
39,79112,2016,4,1,Columbia,104967.77973164091
40,79113,2016,5,1,Columbia,104967.77973164091
41,79114,2016,6,1,Columbia,104967.77973164091
42,79115,2016,7,1,Columbia,104967.77973164091
43,79116,2016,8,1,Columbia,104967.77973164091
44,79117,2016,9,1,Columbia,104967.77973164091
45,79118,2016,10,1,Columbia,104967.77973164091
46,79119,2016,11,1,Columbia,104967.77973164091
47,79120,2016,12,1,Columbia,104967.77973164091
48,79121,2017,1,1,Columbia,104967.77973164091
49,79122,2017,2,1,Columbia,104967.77973164091
50,79123,2017,3,1,Columbia,104967.77973164091
51,79124,2016,4,2,Columbia,104967.77973164091
52,79125,2016,5,2,Columbia,104967.77973164091
53,79126,2016,6,2,Columbia,104967.77973164091
54,79127,2016,7,2,Columbia,104967.77973164091
55,79128,2016,8,2,Columbia,104967.77973164091
56,79129,2016,9,2,Columbia,104967.77973164091
57,79130,2016,10,2,Columbia,104967.77973164091
58,79131,2016,11,2,Columbia,104967.77973164091
59,79132,2016,12,2,Columbia,104967.77973164091
60,79133,2017,1,2,Columbia,104967.77973164091
61,79134,2017,2,2,Columbia,104967.77973164091
62,79135,2017,3,2,Columbia,104967.77973164091
63,79136,2017,1,3,Columbia,104967.77973164091
64,79137,2017,2,3,Columbia,104967.77973164091
65,79138,2017,3,3,Columbia,104967.77973164091
66,79139,2016,4,2,Denmark,104967.77973164091
67,79140,2016,5,2,Denmark,104967.77973164091
68,79141,2016,6,2,Denmark,104967.77973164091
69,79142,2016,7,2,Denmark,104967.77973164091
70,79143,2016,8,2,Denmark,104967.77973164091
71,79144,2016,9,2,Denmark,104967.77973164091
72,79145,2016,10,2,Denmark,104967.77973164091
73,79146,2016,11,2,Denmark,104967.77973164091
74,79147,2016,12,2,Denmark,104967.77973164091
75,79148,2017,1,2,Denmark,104967.77973164091
76,79149,2017,2,2,Denmark,104967.77973164091
77,79150,2017,3,2,Denmark,104967.77973164091
78,79151,2015,11,5,England,104967.77973164091
79,79152,2015,12,5,England,104967.77973164091
80,79153,2016,1,5,England,104967.77973164091
81,79154,2016,2,5,England,104967.77973164091
82,79155,2016,3,5,England,104967.77973164091
83,79156,2016,4,5,England,104967.77973164091
84,79157,2016,5,5,England,104967.77973164091
85,79158,2016,6,5,England,104967.77973164091
86,79159,2016,7,5,England,104967.77973164091
87,79160,2015,11,4,England,104967.77973164091
88,79161,2015,12,4,England,104967.77973164091
89,79162,2016,1,4,England,104967.77973164091
90,79163,2016,2,4,England,104967.77973164091
91,79164,2016,3,4,England,104967.77973164091
92,79165,2016,4,4,England,104967.77973164091
93,79166,2016,5,4,England,104967.77973164091
94,79167,2016,6,4,England,104967.77973164091
95,79168,2016,7,4,England,104967.77973164091
96,79169,2015,11,4,Finland,104967.77973164091
97,79170,2015,12,4,Finland,104967.77973164091
98,79171,2016,1,4,Finland,104967.77973164091
99,79172,2016,2,4,Finland,104967.77973164091
100,79173,2016,3,4,Finland,104967.77973164091
101,79174,2016,4,4,Finland,104967.77973164091
102,79175,2016,5,4,Finland,104967.77973164091
103,79176,2016,6,4,Finland,104967.77973164091
104,79177,2016,7,4,Finland,104967.77973164091
