Year,Month,Country,Product_Type,Expense_Price
2013,1,Argentina,1,14749.307
2013,1,Argentina,2,1329.374
2013,1,Belgium,2,249.59
2013,1,Columbia,1,1893.122
2013,1,Columbia,2,1436.726
2013,1,Denmark,2,43843.906
2013,2,Argentina,1,12187.566
2013,2,Argentina,2,1315.006
2013,2,Belgium,2,309.34
2013,2,Columbia,1,1977.945
2013,2,Columbia,2,1250.836
2013,2,Denmark,2,37731.35
2013,3,Argentina,1,13076.579
2013,3,Argentina,2,1192.655
2013,3,Belgium,2,226.664
2013,3,Columbia,1,2033.22
2013,3,Columbia,2,1407.936
2013,3,Denmark,2,40274.631
2013,4,Argentina,1,14377.199
2013,4,Argentina,2,1658.633
2013,4,Belgium,2,317.763
2013,4,Columbia,1,2022.229
2013,4,Columbia,2,1558.911
2013,4,Denmark,2,45275.841
2013,5,Argentina,1,15652.861
2013,5,Argentina,2,1838.573
2013,5,Belgium,2,316.502
2013,5,Columbia,1,2114.103
2013,5,Columbia,2,1667.862
2013,5,Denmark,2,46157.179
2013,6,Argentina,1,11718.545
2013,6,Argentina,2,1569.111
2013,6,Belgium,2,289.633
2013,6,Columbia,1,1876.265
2013,6,Columbia,2,1601.27
2013,6,Denmark,2,36095.113
2013,7,Argentina,1,14144.888
2013,7,Argentina,2,1812.946
2013,7,Belgium,2,430.322
2013,7,Columbia,1,1933.269
2013,7,Columbia,2,2003.423
2013,7,Denmark,2,46667.272
2013,8,Argentina,1,12839.791
2013,8,Argentina,2,1763.468
2013,8,Belgium,2,325.042
2013,8,Columbia,1,1493.647
2013,8,Columbia,2,1599.478
2013,8,Denmark,2,40444.104
2013,9,Argentina,1,10788.309
2013,9,Argentina,2,1809.594
2013,9,Belgium,2,382.835
2013,9,Columbia,1,1726.646
2013,9,Columbia,2,1791.906
2013,9,Denmark,2,50045.629
2013,10,Argentina,1,16108.134
2013,10,Argentina,2,2051.441
2013,10,Belgium,2,382.373
2013,10,Columbia,1,2073.093
2013,10,Columbia,2,1865.91
2013,10,Denmark,2,46030.221
2013,11,Argentina,1,16242.067
2013,11,Argentina,2,2594.987
2013,11,Belgium,2,345.228
2013,11,Columbia,1,1912.824
2013,11,Columbia,2,2030.454
2013,11,Denmark,2,42643.547
2013,12,Argentina,1,11144.301
2013,12,Argentina,2,1774.795
2013,12,Belgium,2,369.268
2013,12,Columbia,1,1938.385
2013,12,Columbia,2,2010.004
2013,12,Denmark,2,37461.862
2014,1,Argentina,1,15316.88
2014,1,Argentina,2,2218.769
2014,1,Belgium,2,371.712
2014,1,Columbia,1,1945.826
2014,1,Columbia,2,2367.68
2014,1,Denmark,2,53041.901
2014,2,Argentina,1,14746.595
2014,2,Argentina,2,1763.443
2014,2,Belgium,2,398.04
2014,2,Columbia,1,2191.435
2014,2,Columbia,2,2247.186
2014,2,Denmark,2,33749.332
2014,3,Argentina,1,12998.792
2014,3,Argentina,2,2222.233
2014,3,Belgium,2,342.252
2014,3,Columbia,1,2191.868
2014,3,Columbia,2,2133.164
2014,3,Denmark,2,43291.54
2014,4,Argentina,1,15235.335
2014,4,Argentina,2,2179.377
2014,4,Belgium,2,536.635
2014,4,Columbia,1,2109.519
2014,4,Columbia,2,2493.658
2014,4,Denmark,2,43210.845
2014,5,Argentina,1,14499.779
2014,5,Argentina,2,2625.722
2014,5,Belgium,2,471.089
2014,5,Columbia,1,2346.607
2014,5,Columbia,2,2584.325
2014,5,Denmark,2,45318.135
2014,6,Argentina,1,13593.151
2014,6,Argentina,2,2746.535
2014,6,Belgium,2,387.975
2014,6,Columbia,1,2205.613
2014,6,Columbia,2,2686.815
2014,6,Denmark,2,54103.301
2014,7,Argentina,1,15204.593
2014,7,Argentina,2,2563.729
2014,7,Belgium,2,645.618
2014,7,Columbia,1,2288.469
2014,7,Columbia,2,2850.069
2014,7,Denmark,2,56144.548
2014,8,Argentina,1,13292.384
2014,8,Argentina,2,2347.826
2014,8,Belgium,2,405.926
2014,8,Columbia,1,1343.326
2014,8,Columbia,2,2632.626
2014,8,Denmark,2,48919.05
2014,9,Argentina,1,15306.694
2014,9,Argentina,2,2539.234
2014,9,Belgium,2,472.967
2014,9,Columbia,1,1611.258
2014,9,Columbia,2,2853.217
2014,9,Denmark,2,55753.775
2014,10,Argentina,1,14815.265
2014,10,Argentina,2,2938.24
2014,10,Belgium,2,501.281
2014,10,Columbia,1,1709.91
2014,10,Columbia,2,2889.495
2014,10,Denmark,2,56694.275
2014,11,Argentina,1,14102.804
2014,11,Argentina,2,2883.778
2014,11,Belgium,2,541.5
2014,11,Columbia,1,1546.397
2014,11,Columbia,2,2707.814
2014,11,Denmark,2,46988.786
2014,12,Argentina,1,16190.614
2014,12,Argentina,2,2779.454
2014,12,Belgium,2,581.686
2014,12,Columbia,1,1630.762
2014,12,Columbia,2,2943.855
2014,12,Denmark,2,59005.861
2015,1,Argentina,1,16242.659
2015,1,Argentina,2,2612.94
2015,1,Belgium,2,428.642
2015,1,Columbia,1,1726.867
2015,1,Columbia,2,3224.534
2015,1,Denmark,2,56134.354
2015,2,Argentina,1,12136.229
2015,2,Argentina,2,2522.207
2015,2,Belgium,2,453.835
2015,2,Columbia,1,1697.531
2015,2,Columbia,2,2789.498
2015,2,Denmark,2,46304.89
2015,3,Argentina,1,16330.077
2015,3,Argentina,2,2712.103
2015,3,Belgium,2,534.915
2015,3,Columbia,1,2133.89
2015,3,Columbia,2,3440.901
2015,3,Denmark,2,62489.301
2015,4,Argentina,1,14901.627
2015,4,Argentina,2,2929.983
2015,4,Belgium,2,687.835
2015,4,Columbia,1,1884.971
2015,4,Columbia,2,3037.194
2015,4,Denmark,2,61485.779
2015,5,Argentina,1,15056.339
2015,5,Argentina,2,2624.414
2015,5,Belgium,2,541.664
2015,5,Columbia,1,1748.956
2015,5,Columbia,2,3004.249
2015,5,Denmark,2,55469.158
2015,6,Argentina,1,19631.652
2015,6,Argentina,2,3114.002
2015,6,Belgium,2,611.86
2015,6,Columbia,1,2023.57
2015,6,Columbia,2,3291.362
2015,6,Denmark,2,74418.107
2015,7,Argentina,1,13289.789
2015,7,Argentina,2,3443.931
2015,7,Belgium,2,757.019
2015,7,Columbia,1,1905.465
2015,7,Columbia,2,3509.448
2015,7,Denmark,2,51061.811
2015,8,Argentina,1,14762.316
2015,8,Argentina,2,2842.179
2015,8,Belgium,2,644.724
2015,8,Columbia,1,1463.681
2015,8,Columbia,2,2859.274
2015,8,Denmark,2,66816.85
2015,9,Argentina,1,14722.833
2015,9,Argentina,2,3139.684
2015,9,Belgium,2,576.617
2015,9,Columbia,1,1582.971
2015,9,Columbia,2,3324.522
2015,9,Denmark,2,68813.706
2015,10,Argentina,1,13491.587
2015,10,Argentina,2,3206.61
2015,10,Belgium,2,691.665
2015,10,Columbia,1,1919.617
2015,10,Columbia,2,3168.865
2015,10,Denmark,2,63104.573
2015,11,Argentina,1,14529.224
2015,11,Argentina,2,3439.969
2015,11,Belgium,2,775.212
2015,11,Columbia,1,1685.98
2015,11,Columbia,2,3384.614
2015,11,Denmark,2,63298.225
2015,12,Argentina,1,13106.782
2015,12,Argentina,2,2883.604
2015,12,Belgium,2,869.079
2015,12,Columbia,1,1731.891
2015,12,Columbia,2,3276.23
2015,12,Denmark,2,80201.526
2016,1,Argentina,1,10215.226
2016,1,Argentina,2,3274.259
2016,1,Belgium,2,561.64
2016,1,Columbia,1,1592.134
2016,1,Columbia,2,3435.625
2016,1,Denmark,2,48144.265
2016,2,Argentina,1,8349.122
2016,2,Argentina,2,3062.503
2016,2,Belgium,2,598.845
2016,2,Columbia,1,1691.403
2016,2,Columbia,2,3060.411
2016,2,Denmark,2,62181.002
2016,3,Argentina,1,10691.996
2016,3,Argentina,2,3238.978
2016,3,Belgium,2,775.883
2016,3,Columbia,1,1559.468
2016,3,Columbia,2,3533.644
2016,3,Denmark,2,73427.088
2016,4,Argentina,1,8214.875
2016,4,Argentina,2,3087.389
2016,4,Belgium,2,765.271
2016,4,Columbia,1,1723.635
2016,4,Columbia,2,3262.763
2016,4,Denmark,2,66175.264
2016,5,Argentina,1,10777.878
2016,5,Argentina,2,3424.024
2016,5,Belgium,2,622.565
2016,5,Columbia,1,1589.699
2016,5,Columbia,2,3484.177
2016,5,Denmark,2,84161.794
2016,6,Argentina,1,10320.673
2016,6,Argentina,2,3544.379
2016,6,Belgium,2,722.112
